arian foster
aaron rodgers
tom brady
ray rice
lesean mccoy
drew brees
rob gronkowski
calvin johnson
*matthew stafford
cam newton
chris johnson
andre johnson
matt forte
maurice jones-drew
wes welker
*jimmy graham
eli manning
tony romo
demarco murray
larry fitzgerald
michael vick
marshawn lynch
greg jennings
adrian peterson
peyton manning
roddy white
mike wallace
a.j. green
darren mcfadden
victor cruz
jamaal charles
fred jackson
*ryan mathews
darren sproles
julio jones
hakeem nicks
steven jackson
jordy nelson
reggie bush
*trent richardson
jermichael finley
brandon marshall
michael turner
dez bryant
ahmad bradshaw
frank gore
benjarvus green-ellis
steve smith
willis mcgahee
antonio gates
marques colston
vernon davis
brandon lloyd
vincent jackson
jonathan stewart
stephen gostkowski
*dwayne bowe
percy harvin
matt ryan
philip rivers
miles austin
ben tate
stevan ridley
*steve johnson
shonn greene
jeremy maclin
cedric benson
demaryius thomas
desean jackson
aaron hernandez
michael bush
antonio brown
ben roethlisberger
eric decker
matt schaub
jay cutler
doug martin
torrey smith
roy helu
tony gonzalez
*49ers def
deangelo williams
pierre garcon
kevin smith
kenny britt
peyton hillis
santonio holmes
*jason witten
robert griffin III
malcolm floyd
brandon pettigrew
isaac redman
beanie wells
robert meachem
denarius moore
fred davis
texans def
michael crabtree
bears def
ravens def
c.j. spiller
jared cook
packers def
*joe flacco
lance moore
nate washington
alex smith
reggie wayne
donald brown
josh freeman
*mason crosby
anquan boldin
tim tebow
eagles def
andy dalton
justin blackmon
sebastian janikowski
mark ingram
shane vereen
sidney rice
carson palmer
toby gerhart
darrius heyward-bey
ryan williams
andrew luck
seahawks def
pierre thomas
*steelers def
jets def
brandon lafell
jacob tamme
daniel thomas
greg olsen
brent celek
*kendall wright
nate burleson
david akers
david wilson
owen daniels
dustin keller
felix jones
mario manningham
leonard hankerson
bernard scott
legarrette blount
jon baldwin
robbie gould
falcons def
martellus bennett
matt cassel
garrett hartley
*ryan fitzpatrick
dan bailey
austin collie
randy moss
mike tolbert
rashard mendenhall
lions def
*alex henery
mike williams
rueben randle
brandon jacobs
laurent robinson
giants def
greg little
jermaine gresham
coby fleener
titus young
rashad jennings
matt prater
braylon edwards
jonathan dwyer
sam bradford
mike nugent
evan royster
dolphins def
*steve smith
rob bironas
bills def


