# http://espn.go.com/nfl/schedulegrid/_/year/2013
TEAM	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
ARI	@STL	DET	@NO	@TB	CAR	@SF	SEA	ATL	BYE	HOU	@JAC	IND	@PHI	STL	@TEN	@SEA	SF
ATL	@NO	STL	@MIA	NE	NYJ	BYE	TB	@ARI	@CAR	SEA	@TB	NO	@BUF	@GB	WSH	@SF	CAR
BAL	@DEN	CLE	HOU	@BUF	@MIA	GB	@PIT	BYE	@CLE	CIN	@CHI	NYJ	PIT	MIN	@DET	NE	@CIN
BUF	NE	CAR	@NYJ	BAL	@CLE	CIN	@MIA	@NO	KC	@PIT	NYJ	BYE	ATL	@TB	@JAC	MIA	@NE
CAR	SEA	@BUF	NYG	BYE	@ARI	@MIN	STL	@TB	ATL	@SF	NE	@MIA	TB	@NO	NYJ	NO	@ATL
CHI	CIN	MIN	@PIT	@DET	NO	NYG	@WSH	BYE	@GB	DET	BAL	@STL	@MIN	DAL	@CLE	@PHI	GB
CIN	@CHI	PIT	GB	@CLE	NE	@BUF	@DET	NYJ	@MIA	@BAL	CLE	BYE	@SD	IND	@PIT	MIN	BAL
CLE	MIA	@BAL	@MIN	CIN	BUF	DET	@GB	@KC	BAL	BYE	@CIN	PIT	JAC	@NE	CHI	@NYJ	@PIT
DAL	NYG	@KC	STL	@SD	DEN	WSH	@PHI	@DET	MIN	@NO	BYE	@NYG	OAK	@CHI	GB	@WSH	PHI
DEN	BAL	@NYG	OAK	PHI	@DAL	JAC	@IND	WSH	BYE	@SD	KC	@NE	@KC	TEN	SD	@HOU	@OAK
DET	MIN	@ARI	@WSH	CHI	@GB	@CLE	CIN	DAL	BYE	@CHI	@PIT	TB	GB	@PHI	BAL	NYG	@MIN
GB	@SF	WSH	@CIN	BYE	DET	@BAL	CLE	@MIN	CHI	PHI	@NYG	MIN	@DET	ATL	@DAL	PIT	@CHI
HOU	@SD	TEN	@BAL	SEA	@SF	STL	@KC	BYE	IND	@ARI	OAK	JAC	NE	@JAC	@IND	DEN	@TEN
IND	OAK	MIA	@SF	@JAC	SEA	@SD	DEN	BYE	@HOU	STL	@TEN	@ARI	TEN	@CIN	HOU	@KC	JAC
JAC	KC	@OAK	@SEA	IND	@STL	@DEN	SD	SF	BYE	@TEN	ARI	@HOU	@CLE	HOU	BUF	TEN	@IND
KC	@JAC	DAL	@PHI	NYG	@TEN	OAK	HOU	CLE	@BUF	BYE	@DEN	SD	DEN	@WSH	@OAK	IND	@SD
MIA	@CLE	@IND	ATL	@NO	BAL	BYE	BUF	@NE	CIN	@TB	SD	CAR	@NYJ	@PIT	NE	@BUF	NYJ
MIN	@DET	@CHI	CLE	PIT	BYE	CAR	@NYG	GB	@DAL	WSH	@SEA	@GB	CHI	@BAL	PHI	@CIN	DET
NE	@BUF	NYJ	TB	@ATL	@CIN	NO	@NYJ	MIA	PIT	BYE	@CAR	DEN	@HOU	CLE	@MIA	@BAL	BUF
NO	ATL	@TB	ARI	MIA	@CHI	@NE	BYE	BUF	@NYJ	DAL	SF	@ATL	@SEA	CAR	@STL	@CAR	TB
NYG	@DAL	DEN	@CAR	@KC	PHI	@CHI	MIN	@PHI	BYE	OAK	GB	DAL	@WSH	@SD	SEA	@DET	WSH
NYJ	TB	@NE	BUF	@TEN	@ATL	PIT	NE	@CIN	NO	BYE	@BUF	@BAL	MIA	OAK	@CAR	CLE	@MIA
OAK	@IND	JAC	@DEN	WSH	SD	@KC	BYE	PIT	PHI	@NYG	@HOU	TEN	@DAL	@NYJ	KC	@SD	DEN
PHI	@WSH	SD	KC	@DEN	@NYG	@TB	DAL	NYG	@OAK	@GB	WSH	BYE	ARI	DET	@MIN	CHI	@DAL
PIT	TEN	@CIN	CHI	@MIN	BYE	@NYJ	BAL	@OAK	@NE	BUF	DET	@CLE	@BAL	MIA	CIN	@GB	CLE
SD	HOU	@PHI	@TEN	DAL	@OAK	IND	@JAC	BYE	@WSH	DEN	@MIA	@KC	CIN	NYG	@DEN	OAK	KC
SF	GB	@SEA	IND	@STL	HOU	ARI	@TEN	@JAC	BYE	CAR	@NO	@WSH	STL	SEA	@TB	ATL	@ARI
SEA	@CAR	SF	JAC	@HOU	@IND	TEN	@ARI	@STL	TB	@ATL	MIN	BYE	NO	@SF	@NYG	ARI	STL
STL	ARI	@ATL	@DAL	SF	JAC	@HOU	@CAR	SEA	TEN	@IND	BYE	CHI	@SF	@ARI	NO	TB	@SEA
TB	@NYJ	NO	@NE	ARI	BYE	PHI	@ATL	CAR	@SEA	MIA	ATL	@DET	@CAR	BUF	SF	@STL	@NO
TEN	@PIT	@HOU	SD	NYJ	KC	@SEA	SF	BYE	@STL	JAC	IND	@OAK	@IND	@DEN	ARI	@JAC	HOU
WSH	PHI	@GB	DET	@OAK	BYE	@DAL	CHI	@DEN	SD	@MIN	@PHI	SF	NYG	KC	@ATL	DAL	@NYG
